year,Poll_Leading_Margin,Poll_Leader,EC_election_winner,PC_election_winner,EC_Poll_Accurate,PC_Poll_Accurate,Democratic,Republican,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct),Poll_vs_Electoral_Margin_Diff,Poll_vs_Popular_Margin_Diff
1936,5.89,0,0,0,1,1,50.33,44.44,8.0,523.0,16679583.0,27751597.0,44431180.0,2.96,193.7,37.54,62.46,190.74,24.92,-184.85,-19.03
1940,5.38,0,0,0,1,1,48.12,42.75,82.0,449.0,22305198.0,27244160.0,49549358.0,30.37,166.3,45.02,54.98,135.93,9.96,-130.56,-4.58
1944,4.89,0,0,0,1,1,49.22,44.33,99.0,432.0,22006285.0,25602504.0,47608789.0,36.67,160.0,46.22,53.78,123.33,7.56,-118.44,-2.67
1948,8.6,1,0,0,0,0,39.6,47.2,189.0,303.0,21969170.0,24105695.0,46074865.0,70.0,112.22,47.68,52.32,42.22,4.64,-33.62,3.96
1952,12.11,1,1,1,1,1,40.11,52.22,442.0,89.0,33778963.0,27314992.0,61093955.0,163.7,32.96,55.29,44.71,130.74,10.58,-118.63,1.53
1956,20.83,1,1,1,1,1,37.33,58.17,457.0,73.0,35581003.0,25738765.0,61319768.0,169.26,27.04,58.03,41.97,142.22,16.06,-121.39,4.77
1960,2.93,0,0,0,1,1,47.93,47.0,219.0,303.0,34107646.0,34227096.0,68334742.0,81.11,112.22,49.91,50.09,31.11,0.18,-28.18,2.75
1964,38.22,0,0,0,1,1,66.0,27.78,52.0,486.0,27146969.0,42825463.0,69972432.0,19.26,180.0,38.8,61.2,160.74,22.4,-122.52,15.82
1968,8.08,1,1,1,1,1,35.58,41.0,301.0,191.0,31710470.0,30898055.0,62608525.0,111.48,70.74,50.65,49.35,40.74,1.3,-32.66,6.78
1972,23.89,1,1,1,1,1,34.44,58.33,520.0,17.0,46740323.0,28901598.0,75641921.0,192.59,6.3,61.79,38.21,186.29,23.58,-162.4,0.31
1976,10.8,0,0,0,1,1,50.93,40.27,240.0,297.0,39147770.0,40825839.0,79973609.0,88.89,110.0,48.95,51.05,21.11,2.1,-10.31,8.7
1980,9.24,0,1,1,0,0,42.29,36.24,489.0,49.0,43901812.0,35483820.0,79385632.0,181.11,18.15,55.3,44.7,162.96,10.6,-153.72,-1.36
1984,11.95,1,1,1,1,1,41.52,53.48,525.0,13.0,54455075.0,37577185.0,92032260.0,194.44,4.81,59.17,40.83,189.63,18.34,-177.68,-6.39
1988,9.5,0,1,1,0,0,46.0,44.67,426.0,111.0,48886597.0,41809074.0,90695671.0,157.78,41.11,53.9,46.1,116.67,7.8,-107.17,1.7
1992,11.76,0,0,0,1,1,42.53,35.59,168.0,370.0,39104545.0,44909889.0,84014434.0,62.22,137.04,46.55,53.45,74.82,6.9,-63.06,4.86
1996,15.95,0,0,0,1,1,51.45,35.5,159.0,379.0,39198755.0,47402357.0,86601112.0,58.89,140.37,45.26,54.74,81.48,9.48,-65.53,6.47
2000,5.87,1,1,0,1,0,44.33,46.26,271.0,266.0,50456062.0,50999897.0,101455959.0,100.37,98.52,49.73,50.27,1.85,0.54,4.02,5.33
2004,3.57,1,1,1,1,1,46.52,48.19,286.0,251.0,62040610.0,59028444.0,121069054.0,105.93,92.96,51.24,48.76,12.97,2.48,-9.4,1.09
2008,5.04,0,0,0,1,1,47.25,43.71,173.0,365.0,59948323.0,69498516.0,129446839.0,64.07,135.19,46.31,53.69,71.12,7.38,-66.08,-2.34
2012,2.59,0,0,0,1,1,47.5,45.03,206.0,332.0,60933504.0,65915795.0,126849299.0,76.3,122.96,48.04,51.96,46.66,3.92,-44.07,-1.33
2016,3.85,0,1,0,0,1,42.8,38.95,304.0,227.0,62984828.0,65853514.0,128838342.0,112.59,84.07,48.89,51.11,28.52,2.22,-24.67,1.63
2020,7.15,0,0,0,1,1,49.7,42.56,232.0,306.0,74216747.0,81268867.0,155485614.0,85.93,113.33,47.73,52.27,27.4,4.54,-20.25,2.61
2024,1.27,1,1,1,1,1,46.1,46.9,312.0,226.0,77303569.0,75009233.0,152312802.0,115.56,83.7,50.75,49.25,31.86,1.5,-30.59,-0.23
