year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1976,47.0,42.0,5.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,48.0,46.0,2.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,48.0,46.0,2.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,48.0,43.0,5.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,52.0,42.0,10.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,53.0,40.0,13.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,55.0,37.0,18.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,53.0,36.0,17.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,62.0,29.0,33.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,54.0,32.0,22.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,51.0,36.0,15.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,51.0,40.0,11.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,47.0,45.0,2.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,47.0,41.0,6.0,0,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
1976,48.0,49.0,1.0,1,240,297,39147770,40825839,79973609,88.89,110.0,48.95,51.05,21.11,2.1
