year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader
2004,44.0,50.0,6.0,0
2004,49.0,45.0,4.0,1
2004,47.0,43.0,4.0,1
2004,50.0,44.0,6.0,1
2004,47.0,47.0,0.0,0
2004,47.0,45.0,2.0,1
2004,46.0,47.0,1.0,0
2004,43.0,49.0,6.0,0
2004,48.0,47.0,1.0,1
2004,45.0,50.0,5.0,0
2004,46.0,47.0,1.0,0
2004,51.0,45.0,6.0,1
2004,48.0,46.0,2.0,1
2004,48.0,46.0,2.0,1
2004,52.0,45.0,7.0,1
2004,52.0,44.0,8.0,1
2004,49.0,49.0,0.0,0
2004,48.0,49.0,1.0,0
2004,52.0,44.0,8.0,1
2004,51.0,46.0,5.0,1
2004,49.0,49.0,0.0,0
