year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader
2008,46.0,44.0,2.0,0
2008,43.0,47.0,4.0,1
2008,46.0,43.0,3.0,0
2008,45.0,45.0,0.0,0
2008,42.0,48.0,6.0,1
2008,47.0,43.0,4.0,0
2008,44.0,47.0,3.0,1
2008,48.0,41.0,7.0,0
2008,45.0,45.0,0.0,0
2008,48.0,42.0,6.0,0
2008,45.0,44.0,1.0,0
2008,49.0,40.0,9.0,0
2008,44.0,44.0,0.0,0
2008,48.0,42.0,6.0,0
2008,45.0,45.0,0.0,0
2008,50.0,42.0,8.0,0
2008,44.0,49.0,5.0,1
2008,50.0,44.0,6.0,0
2008,46.0,46.0,0.0,0
2008,52.0,41.0,11.0,0
2008,49.0,43.0,6.0,0
2008,52.0,42.0,10.0,0
2008,53.0,40.0,13.0,0
2008,53.0,42.0,11.0,0
