year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2016,36.0,41.0,5.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,37.0,42.0,5.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,37.0,41.0,4.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,38.0,41.0,3.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,40.0,40.0,0.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,38.0,42.0,4.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,36.0,44.0,8.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,37.0,44.0,7.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,37.0,42.0,5.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,38.0,42.0,4.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,39.0,41.0,2.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,40.0,42.0,2.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,40.0,41.0,1.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,42.0,43.0,1.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,41.0,44.0,3.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,39.0,44.0,5.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,39.0,46.0,7.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,40.0,45.0,5.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,43.0,45.0,2.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
2016,42.0,46.0,4.0,0,304,227,62984828,65853514,128838342,112.59,84.07,48.89,51.11,28.52,2.22
