year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader
2024,46.0,44.0,2.0,1
2024,45.0,44.0,1.0,1
2024,47.0,45.0,2.0,1
2024,48.0,45.0,3.0,1
2024,47.0,46.0,1.0,1
2024,47.0,45.0,2.0,1
2024,47.0,46.0,1.0,1
2024,46.0,46.0,0.0,0
2024,45.0,45.0,0.0,0
2024,45.0,44.0,1.0,1
2024,47.0,45.0,2.0,1
2024,46.0,45.0,1.0,1
2024,47.0,46.0,1.0,1
2024,48.0,46.0,2.0,1
2024,46.0,46.0,0.0,0
2024,45.0,45.0,0.0,0
2024,46.0,45.0,1.0,1
2024,47.0,44.0,3.0,1
2024,47.0,45.0,2.0,1
2024,48.0,45.0,3.0,1
2024,48.0,46.0,2.0,1
2024,47.0,47.0,0.0,0
2024,47.0,48.0,1.0,0
2024,46.0,48.0,2.0,0
2024,47.0,48.0,1.0,0
2024,47.0,49.0,2.0,0
2024,48.0,49.0,1.0,0
2024,49.0,49.0,0.0,0
2024,49.0,48.0,1.0,1
2024,49.0,49.0,0.0,0
