year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader
1936,49.0,45.0,4.0,0
1936,49.0,45.0,4.0,0
1936,49.0,45.0,4.0,0
1936,49.0,44.0,5.0,0
1936,49.0,45.0,4.0,0
1936,50.0,44.0,6.0,0
1936,51.0,44.0,7.0,0
1936,51.0,44.0,7.0,0
1936,56.0,44.0,12.0,0
1940,48.0,42.0,6.0,0
1940,44.0,43.0,1.0,0
1940,45.0,43.0,2.0,0
1940,46.0,44.0,2.0,0
1940,49.0,40.0,9.0,0
1940,50.0,40.0,10.0,0
1940,51.0,42.0,9.0,0
1940,52.0,48.0,4.0,0
1944,55.0,41.0,14.0,0
1944,53.0,42.0,11.0,0
1944,48.0,46.0,2.0,0
1944,48.0,47.0,1.0,0
1944,50.0,45.0,5.0,0
1944,51.0,45.0,6.0,0
1944,51.0,44.0,7.0,0
1944,46.0,45.0,1.0,0
1944,49.0,41.0,8.0,0
1944,47.0,42.0,5.0,0
1944,47.0,45.0,2.0,0
1944,47.0,42.0,5.0,0
1944,50.0,45.0,5.0,0
1944,48.0,41.0,7.0,0
1944,47.0,45.0,2.0,0
1944,48.0,47.0,1.0,0
1944,50.0,47.0,3.0,0
1944,51.0,48.0,3.0,0
1948,46.0,41.0,5.0,0
1948,39.0,47.0,8.0,1
1948,38.0,49.0,11.0,1
1948,37.0,48.0,11.0,1
1948,37.0,48.0,11.0,1
1948,36.0,49.0,13.0,1
1948,39.0,47.0,8.0,1
1948,39.0,47.0,8.0,1
1948,40.0,46.0,6.0,1
1948,45.0,50.0,5.0,1
1952,31.0,59.0,28.0,1
1952,43.0,50.0,7.0,1
1952,40.0,55.0,15.0,1
1952,41.0,55.0,14.0,1
1952,41.0,53.0,12.0,1
1952,38.0,51.0,13.0,1
1952,39.0,48.0,9.0,1
1952,39.0,48.0,9.0,1
1952,49.0,51.0,2.0,1
1956,35.0,61.0,26.0,1
1956,33.0,63.0,30.0,1
1956,37.0,61.0,24.0,1
1956,33.0,62.0,29.0,1
1956,35.0,62.0,27.0,1
1956,35.0,62.0,27.0,1
1956,37.0,61.0,24.0,1
1956,41.0,52.0,11.0,1
1956,41.0,52.0,11.0,1
1956,40.0,52.0,12.0,1
1956,41.0,51.0,10.0,1
1956,40.0,59.0,19.0,1
1960,43.0,48.0,5.0,1
1960,48.0,48.0,0.0,0
1960,50.0,45.0,5.0,0
1960,51.0,44.0,7.0,0
1960,48.0,47.0,1.0,0
1960,47.0,49.0,2.0,1
1960,50.0,46.0,4.0,0
1960,44.0,50.0,6.0,1
1960,47.0,47.0,0.0,0
1960,48.0,47.0,1.0,0
1960,46.0,47.0,1.0,1
1960,49.0,46.0,3.0,0
1960,49.0,45.0,4.0,0
1960,51.0,49.0,2.0,0
1964,77.0,18.0,59.0,0
1964,76.0,20.0,56.0,0
1964,62.0,26.0,36.0,0
1964,59.0,31.0,28.0,0
1964,65.0,29.0,36.0,0
1964,65.0,29.0,36.0,0
1964,62.0,32.0,30.0,0
1964,64.0,29.0,35.0,0
1964,64.0,36.0,28.0,0
1968,34.0,43.0,9.0,1
1968,36.0,39.0,3.0,1
1968,42.0,36.0,6.0,0
1968,42.0,37.0,5.0,0
1968,40.0,35.0,5.0,0
1968,38.0,40.0,2.0,1
1968,29.0,45.0,16.0,1
1968,31.0,43.0,12.0,1
1968,28.0,43.0,15.0,1
1968,29.0,44.0,15.0,1
1968,36.0,44.0,8.0,1
1968,42.0,43.0,1.0,1
1972,34.0,53.0,19.0,1
1972,37.0,53.0,16.0,1
1972,37.0,56.0,19.0,1
1972,31.0,57.0,26.0,1
1972,30.0,64.0,34.0,1
1972,33.0,61.0,28.0,1
1972,34.0,60.0,26.0,1
1972,36.0,59.0,23.0,1
1972,38.0,62.0,24.0,1
1976,47.0,42.0,5.0,0
1976,48.0,46.0,2.0,0
1976,48.0,46.0,2.0,0
1976,48.0,43.0,5.0,0
1976,52.0,42.0,10.0,0
1976,53.0,40.0,13.0,0
1976,55.0,37.0,18.0,0
1976,53.0,36.0,17.0,0
1976,62.0,29.0,33.0,0
1976,54.0,32.0,22.0,0
1976,51.0,36.0,15.0,0
1976,51.0,40.0,11.0,0
1976,47.0,45.0,2.0,0
1976,47.0,41.0,6.0,0
1976,48.0,49.0,1.0,1
1980,62.0,33.0,29.0,0
1980,60.0,31.0,29.0,0
1980,58.0,33.0,25.0,0
1980,40.0,34.0,6.0,0
1980,41.0,34.0,7.0,0
1980,38.0,32.0,6.0,0
1980,40.0,32.0,8.0,0
1980,39.0,32.0,7.0,0
1980,35.0,33.0,2.0,0
1980,32.0,37.0,5.0,1
1980,34.0,37.0,3.0,1
1980,29.0,45.0,16.0,1
1980,39.0,38.0,1.0,0
1980,39.0,39.0,0.0,0
1980,44.0,40.0,4.0,0
1980,45.0,39.0,6.0,0
1980,44.0,47.0,3.0,1
1984,47.0,48.0,1.0,1
1984,43.0,53.0,10.0,1
1984,42.0,52.0,10.0,1
1984,45.0,50.0,5.0,1
1984,44.0,52.0,8.0,1
1984,41.0,54.0,13.0,1
1984,44.0,52.0,8.0,1
1984,46.0,50.0,4.0,1
1984,43.0,53.0,10.0,1
1984,44.0,53.0,9.0,1
1984,38.0,55.0,17.0,1
1984,43.0,51.0,8.0,1
1984,39.0,53.0,14.0,1
1984,41.0,53.0,12.0,1
1984,41.0,52.0,11.0,1
1984,37.0,56.0,19.0,1
1984,37.0,58.0,21.0,1
1984,39.0,55.0,16.0,1
1984,38.0,58.0,20.0,1
1984,39.0,56.0,17.0,1
1984,41.0,59.0,18.0,1
